job starting
[worker: 108] [integral: 0] min_calculation: 18900000 / max_calculation: 19075000, total_calculations: 179200000
[worker: 244] [integral: 0] min_calculation: 42700000 / max_calculation: 42875000, total_calculations: 179200000
[worker: 298] [integral: 0] min_calculation: 52150000 / max_calculation: 52325000, total_calculations: 179200000
[worker: 468] [integral: 0] min_calculation: 81900000 / max_calculation: 82075000, total_calculations: 179200000
[worker: 170] [integral: 0] min_calculation: 29750000 / max_calculation: 29925000, total_calculations: 179200000
[worker: 42] [integral: 0] min_calculation: 7350000 / max_calculation: 7525000, total_calculations: 179200000
[worker: 308] [integral: 0] min_calculation: 53900000 / max_calculation: 54075000, total_calculations: 179200000
[worker: 492] [integral: 0] min_calculation: 86100000 / max_calculation: 86275000, total_calculations: 179200000
[worker: 204] [integral: 0] min_calculation: 35700000 / max_calculation: 35875000, total_calculations: 179200000
[worker: 466] [integral: 0] min_calculation: 81550000 / max_calculation: 81725000, total_calculations: 179200000
[worker: 2] [integral: 0] min_calculation: 350000 / max_calculation: 525000, total_calculations: 179200000
[worker: 282] [integral: 0] min_calculation: 49350000 / max_calculation: 49525000, total_calculations: 179200000
[worker: 490] [integral: 0] min_calculation: 85750000 / max_calculation: 85925000, total_calculations: 179200000
[worker: 60] [integral: 0] min_calculation: 10500000 / max_calculation: 10675000, total_calculations: 179200000
[worker: 188] [integral: 0] min_calculation: 32900000 / max_calculation: 33075000, total_calculations: 179200000
[worker: 362] [integral: 0] min_calculation: 63350000 / max_calculation: 63525000, total_calculations: 179200000
[worker: 412] [integral: 0] min_calculation: 72100000 / max_calculation: 72275000, total_calculations: 179200000
[worker: 234] [integral: 0] min_calculation: 40950000 / max_calculation: 41125000, total_calculations: 179200000
[worker: 122] [integral: 0] min_calculation: 21350000 / max_calculation: 21525000, total_calculations: 179200000
[worker: 372] [integral: 0] min_calculation: 65100000 / max_calculation: 65275000, total_calculations: 179200000
[worker: 500] [integral: 0] min_calculation: 87500000 / max_calculation: 87675000, total_calculations: 179200000
[worker: 156] [integral: 0] min_calculation: 27300000 / max_calculation: 27475000, total_calculations: 179200000
[worker: 410] [integral: 0] min_calculation: 71750000 / max_calculation: 71925000, total_calculations: 179200000
[worker: 26] [integral: 0] min_calculation: 4550000 / max_calculation: 4725000, total_calculations: 179200000
[worker: 338] [integral: 0] min_calculation: 59150000 / max_calculation: 59325000, total_calculations: 179200000
[worker: 506] [integral: 0] min_calculation: 88550000 / max_calculation: 88725000, total_calculations: 179200000
[worker: 124] [integral: 0] min_calculation: 21700000 / max_calculation: 21875000, total_calculations: 179200000
[worker: 252] [integral: 0] min_calculation: 44100000 / max_calculation: 44275000, total_calculations: 179200000
[worker: 378] [integral: 0] min_calculation: 66150000 / max_calculation: 66325000, total_calculations: 179200000
[worker: 476] [integral: 0] min_calculation: 83300000 / max_calculation: 83475000, total_calculations: 179200000
[worker: 250] [integral: 0] min_calculation: 43750000 / max_calculation: 43925000, total_calculations: 179200000
[worker: 106] [integral: 0] min_calculation: 18550000 / max_calculation: 18725000, total_calculations: 179200000
[worker: 380] [integral: 0] min_calculation: 66500000 / max_calculation: 66675000, total_calculations: 179200000
[worker: 508] [integral: 0] min_calculation: 88900000 / max_calculation: 89075000, total_calculations: 179200000
[worker: 220] [integral: 0] min_calculation: 38500000 / max_calculation: 38675000, total_calculations: 179200000
[worker: 474] [integral: 0] min_calculation: 82950000 / max_calculation: 83125000, total_calculations: 179200000
[worker: 90] [integral: 0] min_calculation: 15750000 / max_calculation: 15925000, total_calculations: 179200000
[worker: 346] [integral: 0] min_calculation: 60550000 / max_calculation: 60725000, total_calculations: 179200000
[worker: 931] [integral: 0] min_calculation: 162925000 / max_calculation: 163100000, total_calculations: 179200000
[worker: 551] [integral: 0] min_calculation: 96425000 / max_calculation: 96600000, total_calculations: 179200000
[worker: 679] [integral: 0] min_calculation: 118825000 / max_calculation: 119000000, total_calculations: 179200000
[worker: 130] [integral: 0] min_calculation: 22750000 / max_calculation: 22925000, total_calculations: 179200000
[worker: 803] [integral: 0] min_calculation: 140525000 / max_calculation: 140700000, total_calculations: 179200000
[worker: 919] [integral: 0] min_calculation: 160825000 / max_calculation: 161000000, total_calculations: 179200000
[worker: 260] [integral: 0] min_calculation: 45500000 / max_calculation: 45675000, total_calculations: 179200000
[worker: 675] [integral: 0] min_calculation: 118125000 / max_calculation: 118300000, total_calculations: 179200000
[worker: 547] [integral: 0] min_calculation: 95725000 / max_calculation: 95900000, total_calculations: 179200000
[worker: 807] [integral: 0] min_calculation: 141225000 / max_calculation: 141400000, total_calculations: 179200000
[worker: 935] [integral: 0] min_calculation: 163625000 / max_calculation: 163800000, total_calculations: 179200000
[worker: 12] [integral: 0] min_calculation: 2100000 / max_calculation: 2275000, total_calculations: 179200000
[worker: 663] [integral: 0] min_calculation: 116025000 / max_calculation: 116200000, total_calculations: 179200000
[worker: 915] [integral: 0] min_calculation: 160125000 / max_calculation: 160300000, total_calculations: 179200000
[worker: 539] [integral: 0] min_calculation: 94325000 / max_calculation: 94500000, total_calculations: 179200000
[worker: 787] [integral: 0] min_calculation: 137725000 / max_calculation: 137900000, total_calculations: 179200000
[worker: 947] [integral: 0] min_calculation: 165725000 / max_calculation: 165900000, total_calculations: 179200000
