job starting
[worker: 56] [integral: 0] min_calculation: 39200000 / max_calculation: 39900000, total_calculations: 179200000
[worker: 196] [integral: 0] min_calculation: 137200000 / max_calculation: 137900000, total_calculations: 179200000
[worker: 216] [integral: 0] min_calculation: 151200000 / max_calculation: 151900000, total_calculations: 179200000
[worker: 60] [integral: 0] min_calculation: 42000000 / max_calculation: 42700000, total_calculations: 179200000
[worker: 16] [integral: 0] min_calculation: 11200000 / max_calculation: 11900000, total_calculations: 179200000
[worker: 246] [integral: 0] min_calculation: 172200000 / max_calculation: 172900000, total_calculations: 179200000
[worker: 64] [integral: 0] min_calculation: 44800000 / max_calculation: 45500000, total_calculations: 179200000
[worker: 54] [integral: 0] min_calculation: 37800000 / max_calculation: 38500000, total_calculations: 179200000
[worker: 128] [integral: 0] min_calculation: 89600000 / max_calculation: 90300000, total_calculations: 179200000
[worker: 204] [integral: 0] min_calculation: 142800000 / max_calculation: 143500000, total_calculations: 179200000
[worker: 248] [integral: 0] min_calculation: 173600000 / max_calculation: 174300000, total_calculations: 179200000
[worker: 61] [integral: 0] min_calculation: 42700000 / max_calculation: 43400000, total_calculations: 179200000
[worker: 24] [integral: 0] min_calculation: 16800000 / max_calculation: 17500000, total_calculations: 179200000
[worker: 252] [integral: 0] min_calculation: 176400000 / max_calculation: 177100000, total_calculations: 179200000
[worker: 200] [integral: 0] min_calculation: 140000000 / max_calculation: 140700000, total_calculations: 179200000
[worker: 20] [integral: 0] min_calculation: 14000000 / max_calculation: 14700000, total_calculations: 179200000
[worker: 8] [integral: 0] min_calculation: 5600000 / max_calculation: 6300000, total_calculations: 179200000
[worker: 228] [integral: 0] min_calculation: 159600000 / max_calculation: 160300000, total_calculations: 179200000
[worker: 80] [integral: 0] min_calculation: 56000000 / max_calculation: 56700000, total_calculations: 179200000
[worker: 12] [integral: 0] min_calculation: 8400000 / max_calculation: 9100000, total_calculations: 179200000
[worker: 58] [integral: 0] min_calculation: 40600000 / max_calculation: 41300000, total_calculations: 179200000
[worker: 214] [integral: 0] min_calculation: 149800000 / max_calculation: 150500000, total_calculations: 179200000
