job starting
[worker: 366] [integral: 0] min_calculation: 500390 / max_calculation: 501757, total_calculations: 1400000
[worker: 646] [integral: 0] min_calculation: 883203 / max_calculation: 884570, total_calculations: 1400000
[worker: 512] [integral: 0] min_calculation: 700000 / max_calculation: 701367, total_calculations: 1400000
[worker: 448] [integral: 0] min_calculation: 612500 / max_calculation: 613867, total_calculations: 1400000
[worker: 328] [integral: 0] min_calculation: 448437 / max_calculation: 449804, total_calculations: 1400000
[worker: 582] [integral: 0] min_calculation: 795703 / max_calculation: 797070, total_calculations: 1400000
[worker: 630] [integral: 0] min_calculation: 861328 / max_calculation: 862695, total_calculations: 1400000
[worker: 488] [integral: 0] min_calculation: 667187 / max_calculation: 668554, total_calculations: 1400000
[worker: 648] [integral: 0] min_calculation: 885937 / max_calculation: 887304, total_calculations: 1400000
[worker: 758] [integral: 0] min_calculation: 1036328 / max_calculation: 1037695, total_calculations: 1400000
[worker: 454] [integral: 0] min_calculation: 620703 / max_calculation: 622070, total_calculations: 1400000
[worker: 360] [integral: 0] min_calculation: 492187 / max_calculation: 493554, total_calculations: 1400000
[worker: 616] [integral: 0] min_calculation: 842187 / max_calculation: 843554, total_calculations: 1400000
[worker: 286] [integral: 0] min_calculation: 391015 / max_calculation: 392382, total_calculations: 1400000
[worker: 744] [integral: 0] min_calculation: 1017187 / max_calculation: 1018554, total_calculations: 1400000
[worker: 374] [integral: 0] min_calculation: 511328 / max_calculation: 512695, total_calculations: 1400000
[worker: 710] [integral: 0] min_calculation: 970703 / max_calculation: 972070, total_calculations: 1400000
[worker: 600] [integral: 0] min_calculation: 820312 / max_calculation: 821679, total_calculations: 1400000
[worker: 392] [integral: 0] min_calculation: 535937 / max_calculation: 537304, total_calculations: 1400000
[worker: 344] [integral: 0] min_calculation: 470312 / max_calculation: 471679, total_calculations: 1400000
[worker: 606] [integral: 0] min_calculation: 828515 / max_calculation: 829882, total_calculations: 1400000
[worker: 574] [integral: 0] min_calculation: 784765 / max_calculation: 786132, total_calculations: 1400000
[worker: 440] [integral: 0] min_calculation: 601562 / max_calculation: 602929, total_calculations: 1400000
[worker: 728] [integral: 0] min_calculation: 995312 / max_calculation: 996679, total_calculations: 1400000
[worker: 702] [integral: 0] min_calculation: 959765 / max_calculation: 961132, total_calculations: 1400000
[worker: 414] [integral: 0] min_calculation: 566015 / max_calculation: 567382, total_calculations: 1400000
[worker: 312] [integral: 0] min_calculation: 426562 / max_calculation: 427929, total_calculations: 1400000
[worker: 568] [integral: 0] min_calculation: 776562 / max_calculation: 777929, total_calculations: 1400000
[worker: 350] [integral: 0] min_calculation: 478515 / max_calculation: 479882, total_calculations: 1400000
[worker: 696] [integral: 0] min_calculation: 951562 / max_calculation: 952929, total_calculations: 1400000
[worker: 318] [integral: 0] min_calculation: 434765 / max_calculation: 436132, total_calculations: 1400000
[worker: 430] [integral: 0] min_calculation: 587890 / max_calculation: 589257, total_calculations: 1400000
[worker: 670] [integral: 0] min_calculation: 916015 / max_calculation: 917382, total_calculations: 1400000
[worker: 520] [integral: 0] min_calculation: 710937 / max_calculation: 712304, total_calculations: 1400000
[worker: 472] [integral: 0] min_calculation: 645312 / max_calculation: 646679, total_calculations: 1400000
[worker: 776] [integral: 0] min_calculation: 1060937 / max_calculation: 1062304, total_calculations: 1400000
[worker: 518] [integral: 0] min_calculation: 708203 / max_calculation: 709570, total_calculations: 1400000
[worker: 638] [integral: 0] min_calculation: 872265 / max_calculation: 873632, total_calculations: 1400000
[worker: 504] [integral: 0] min_calculation: 689062 / max_calculation: 690429, total_calculations: 1400000
[worker: 712] [integral: 0] min_calculation: 973437 / max_calculation: 974804, total_calculations: 1400000
[worker: 766] [integral: 0] min_calculation: 1047265 / max_calculation: 1048632, total_calculations: 1400000
[worker: 478] [integral: 0] min_calculation: 653515 / max_calculation: 654882, total_calculations: 1400000
[worker: 376] [integral: 0] min_calculation: 514062 / max_calculation: 515429, total_calculations: 1400000
